,Event ID,Title,Event Type,Severity,Description,Source,Date
0,000,"European summer heatwave, 2003",Heat,More severe or more likely to occur,"""We estimate it is very likely (confidence level >90%) that human influence has at least doubled the risk of a heatwave exceeding this threshold magnitude.""",https://www.nature.com/nature/journal/v432/n7017/full/nature03089.html,2003
1,001,"Global temperature extremes, since 1950",Heat,More severe or more likely to occur,"""Comparing these observations with climate model simulations in an optimal detection analysis shows a significant human influence on patterns of change in extremely warm nights.""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2005GL023885,1950
2,002,"Record warm autumn in Europe, 2006",Heat,More severe or more likely to occur,"""Global warming has made a warm autumn like the one observed in 2006 much more likely by shifting the temperature distribution to higher values.""",http://www.clim-past.net/3/659/2007/cp-3-659-2007.html,2006
3,003,"Increasing frequency of 'very warm' northern hemisphere summers, 1860-2009",Heat,More severe or more likely to occur,"""We detect the dominant influence of anthropogenic factors on observed warming in almost every region, which has led to a rapidly increasing risk of hot summers.""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2007JD008914,1860-2009
4,004,"Moscow summer heatwave, 2010",Heat,More severe or more likely to occur,"""For July temperature in Moscow, we estimate...an approximate 80% probability that the 2010 July heat record would not have occurred without climate warming.""",http://www.pnas.org/content/108/44/17905.abstract,2010
5,005,"Global warm nights, 1950-2003",Heat,More severe or more likely to occur,"""A large part of the observed global-scale trend in TN90 results from the trend in mean temperature, which has been attributed largely to anthropogenic greenhouse gas increase. This suggests that the detected global‐scale trends in the number of warm nights are at least partly anthropogenic.""",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2011GL048531,1950-2003
6,006,"Global 'extremely warm' daytime temperatures, 1950-99",Heat,More severe or more likely to occur,"""Anthropogenic forcings alter the regional distributions, indicating that extremely warm days have become hotter.""",https://journals.ametsoc.org/doi/10.1175/2011JCLI4150.1,1950-99
7,007,"Africa 'anomalously warm' seasonal temperatures, 1961-2008",Heat,More severe or more likely to occur,"""In the June-August and September-November seasons, many of the sub‐continental regions of Africa and Asia show robust attributable increase in the frequencies of anomalously warm seasonal temperatures.""",https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/asl.315,1961-2008
8,007,"Asia 'anomalously warm' seasonal temperatures, 1961-2008",Heat,More severe or more likely to occur,"""In the June-August and September-November seasons, many of the sub‐continental regions of Africa and Asia show robust attributable increase in the frequencies of anomalously warm seasonal temperatures.""",https://rmets.onlinelibrary.wiley.com/doi/full/10.1002/asl.315,1961-2008
9,008,"Global daily temperature extremes, 1961-2000",Heat,More severe or more likely to occur,"""Therefore, it is concluded that the influence of anthropogenic forcing has had a detectable influence on extreme temperatures that have impacts on human society and natural systems at global and regional scales.""",https://journals.ametsoc.org/doi/full/10.1175/2010JCLI3908.1,1961-2000
